id,question_type,corruption,clean_emb_sim,corrupt_emb_sim,corrupt_mech_f1,corrupt_graph_support,corrupt_token_f1
0,cross_domain_mapping,no_graph,1.0,0.9199,0.6667,0.4610,0.5368
0,cross_domain_mapping,shuffled_graph,1.0,0.9356,0.8000,0.4805,0.5276
0,cross_domain_mapping,wrong_graph,1.0,0.9397,0.6667,0.5519,0.5340
0,cross_domain_mapping,no_synthesis,1.0,0.8961,0.5000,0.4156,0.4833
0,cross_domain_mapping,shuffled_synthesis,1.0,0.9459,0.6667,0.6039,0.5975
1,cross_domain_mapping,no_graph,1.0,0.9673,0.2857,0.4669,0.6417
1,cross_domain_mapping,shuffled_graph,1.0,0.9663,1.0000,0.4280,0.5954
1,cross_domain_mapping,wrong_graph,1.0,0.9704,0.5000,0.4864,0.6457
1,cross_domain_mapping,no_synthesis,1.0,0.9713,0.6667,0.5720,0.7500
1,cross_domain_mapping,shuffled_synthesis,1.0,0.9743,0.5000,0.5798,0.7514
2,causal_multiscale_reasoning,no_graph,1.0,0.9881,0.5714,0.4702,0.6836
2,causal_multiscale_reasoning,shuffled_graph,1.0,0.9678,0.5000,0.4940,0.6937
2,causal_multiscale_reasoning,wrong_graph,1.0,0.9795,0.5000,0.4643,0.6103
2,causal_multiscale_reasoning,no_synthesis,1.0,0.9614,0.6667,0.5357,0.6996
2,causal_multiscale_reasoning,shuffled_synthesis,1.0,0.9400,0.8571,0.5298,0.6996
3,hidden_variable_identification,no_graph,1.0,0.9718,0.6667,0.5220,0.7287
3,hidden_variable_identification,shuffled_graph,1.0,0.9813,0.5455,0.4906,0.6850
3,hidden_variable_identification,wrong_graph,1.0,0.9542,0.5000,0.5975,0.6456
3,hidden_variable_identification,no_synthesis,1.0,0.9723,0.7273,0.6226,0.7396
3,hidden_variable_identification,shuffled_synthesis,1.0,0.9862,0.6000,0.6352,0.7509
4,model_abstraction_and_breakdown,no_graph,1.0,0.9759,0.4444,0.4878,0.5994
4,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9779,0.5000,0.5183,0.6062
4,model_abstraction_and_breakdown,wrong_graph,1.0,0.9766,0.6667,0.5061,0.6429
4,model_abstraction_and_breakdown,no_synthesis,1.0,0.9744,0.6000,0.6341,0.6627
4,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9767,0.5000,0.7744,0.6289
5,tradeoff_and_non_monotonicity,no_graph,1.0,0.9817,0.6154,0.5192,0.6667
5,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9873,0.7273,0.5433,0.6628
5,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9888,0.8000,0.4375,0.6971
5,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9915,0.7273,0.6250,0.8443
5,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9937,0.9091,0.6202,0.8943
6,tradeoff_and_non_monotonicity,no_graph,1.0,0.9725,0.5000,0.4858,0.6042
6,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9777,0.6000,0.5566,0.6254
6,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9753,0.6667,0.4434,0.5654
6,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9742,0.8000,0.5472,0.6643
6,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9685,0.6667,0.5566,0.5755
7,model_abstraction_and_breakdown,no_graph,1.0,0.9670,0.4000,0.6261,0.5919
7,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9756,0.3333,0.6522,0.5988
7,model_abstraction_and_breakdown,wrong_graph,1.0,0.9682,0.6667,0.6261,0.6488
7,model_abstraction_and_breakdown,no_synthesis,1.0,0.9731,0.4000,0.6522,0.6231
7,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9731,0.0000,0.6522,0.5818
8,tradeoff_and_non_monotonicity,no_graph,1.0,0.9861,0.6154,0.5621,0.6398
8,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9859,0.5455,0.5503,0.6070
8,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9812,0.4000,0.4970,0.6179
8,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9841,0.4444,0.5917,0.6755
8,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9890,0.9231,0.7041,0.7178
9,model_abstraction_and_breakdown,no_graph,1.0,0.9593,0.3333,0.5610,0.5787
9,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9540,0.2857,0.5463,0.5389
9,model_abstraction_and_breakdown,wrong_graph,1.0,0.9502,0.3333,0.6098,0.5414
9,model_abstraction_and_breakdown,no_synthesis,1.0,0.9570,0.4000,0.5854,0.6306
9,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9763,0.0000,0.6146,0.6217
10,hidden_variable_identification,no_graph,1.0,0.9495,0.2222,0.6387,0.6358
10,hidden_variable_identification,shuffled_graph,1.0,0.9492,0.5455,0.6555,0.6259
10,hidden_variable_identification,wrong_graph,1.0,0.9784,0.4000,0.6555,0.6355
10,hidden_variable_identification,no_synthesis,1.0,0.9533,0.2222,0.6387,0.6137
10,hidden_variable_identification,shuffled_synthesis,1.0,0.9545,0.5455,0.6134,0.6042
11,tradeoff_and_non_monotonicity,no_graph,1.0,0.9708,0.3636,0.4944,0.6773
11,tradeoff_and_non_monotonicity,shuffled_graph,1.0,0.9720,0.3636,0.5000,0.6624
11,tradeoff_and_non_monotonicity,wrong_graph,1.0,0.9797,0.7692,0.5667,0.6919
11,tradeoff_and_non_monotonicity,no_synthesis,1.0,0.9763,0.7692,0.5778,0.6935
11,tradeoff_and_non_monotonicity,shuffled_synthesis,1.0,0.9866,0.9333,0.6778,0.7209
12,hidden_variable_identification,no_graph,1.0,0.9289,0.5455,0.5591,0.5597
12,hidden_variable_identification,shuffled_graph,1.0,0.9589,0.6667,0.5512,0.5685
12,hidden_variable_identification,wrong_graph,1.0,0.9621,0.6667,0.5354,0.5684
12,hidden_variable_identification,no_synthesis,1.0,0.9633,0.6667,0.6142,0.6250
12,hidden_variable_identification,shuffled_synthesis,1.0,0.9734,0.8000,0.6614,0.6174
13,hidden_variable_identification,no_graph,1.0,0.9540,0.6667,0.4848,0.6645
13,hidden_variable_identification,shuffled_graph,1.0,0.9723,0.6667,0.5152,0.7129
13,hidden_variable_identification,wrong_graph,1.0,0.9529,0.5455,0.5455,0.6951
13,hidden_variable_identification,no_synthesis,1.0,0.9820,0.6000,0.5682,0.7400
13,hidden_variable_identification,shuffled_synthesis,1.0,0.9759,0.8000,0.6136,0.7568
14,hidden_variable_identification,no_graph,1.0,0.9754,0.7273,0.6429,0.6105
14,hidden_variable_identification,shuffled_graph,1.0,0.9761,0.8333,0.5595,0.6316
14,hidden_variable_identification,wrong_graph,1.0,0.9669,0.7273,0.5893,0.5527
14,hidden_variable_identification,no_synthesis,1.0,0.9748,0.6000,0.6548,0.6069
14,hidden_variable_identification,shuffled_synthesis,1.0,0.9610,0.3636,0.6190,0.5358
15,hidden_variable_identification,no_graph,1.0,0.9575,0.5000,0.5667,0.5800
15,hidden_variable_identification,shuffled_graph,1.0,0.9580,0.5000,0.5500,0.5819
15,hidden_variable_identification,wrong_graph,1.0,0.9562,0.5000,0.5500,0.5819
15,hidden_variable_identification,no_synthesis,1.0,0.9721,0.7500,0.6333,0.6750
15,hidden_variable_identification,shuffled_synthesis,1.0,0.9814,0.7500,0.6417,0.6446
16,model_abstraction_and_breakdown,no_graph,1.0,0.9644,0.5714,0.6183,0.6821
16,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9667,0.5714,0.5878,0.7189
16,model_abstraction_and_breakdown,wrong_graph,1.0,0.9678,0.2857,0.5954,0.6667
16,model_abstraction_and_breakdown,no_synthesis,1.0,0.9687,0.6667,0.6489,0.7687
16,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9534,0.8000,0.6870,0.7205
17,hidden_variable_identification,no_graph,1.0,0.9486,0.5455,0.5057,0.6104
17,hidden_variable_identification,shuffled_graph,1.0,0.9498,0.4615,0.5862,0.6413
17,hidden_variable_identification,wrong_graph,1.0,0.9664,0.6667,0.5287,0.6169
17,hidden_variable_identification,no_synthesis,1.0,0.9608,0.7692,0.6207,0.6328
17,hidden_variable_identification,shuffled_synthesis,1.0,0.9662,0.7143,0.5805,0.6607
18,hidden_variable_identification,no_graph,1.0,0.9781,0.5000,0.4924,0.6364
18,hidden_variable_identification,shuffled_graph,1.0,0.9776,0.5000,0.5606,0.6221
18,hidden_variable_identification,wrong_graph,1.0,0.9702,0.5714,0.5000,0.5498
18,hidden_variable_identification,no_synthesis,1.0,0.9754,0.6667,0.5152,0.5907
18,hidden_variable_identification,shuffled_synthesis,1.0,0.9737,0.4444,0.5682,0.6224
19,model_abstraction_and_breakdown,no_graph,1.0,0.9437,0.4444,0.6259,0.5730
19,model_abstraction_and_breakdown,shuffled_graph,1.0,0.9442,0.4444,0.6259,0.6059
19,model_abstraction_and_breakdown,wrong_graph,1.0,0.9343,0.2857,0.6115,0.5729
19,model_abstraction_and_breakdown,no_synthesis,1.0,0.9598,0.4000,0.5899,0.5584
19,model_abstraction_and_breakdown,shuffled_synthesis,1.0,0.9481,0.4444,0.7698,0.6524
20,hidden_variable_identification,no_graph,1.0,0.9596,0.2500,0.5130,0.5228
20,hidden_variable_identification,shuffled_graph,1.0,0.9714,0.0000,0.4805,0.5460
20,hidden_variable_identification,wrong_graph,1.0,0.9683,0.4444,0.5065,0.5470
20,hidden_variable_identification,no_synthesis,1.0,0.9761,0.4000,0.6234,0.5822
20,hidden_variable_identification,shuffled_synthesis,1.0,0.9729,0.2500,0.5390,0.5855
21,hidden_variable_identification,no_graph,1.0,0.8935,0.2857,0.4469,0.5310
21,hidden_variable_identification,shuffled_graph,1.0,0.9003,0.4000,0.4469,0.5015
21,hidden_variable_identification,wrong_graph,1.0,0.8976,0.3333,0.5251,0.5562
21,hidden_variable_identification,no_synthesis,1.0,0.8863,0.2222,0.5140,0.5749
21,hidden_variable_identification,shuffled_synthesis,1.0,0.8867,0.5714,0.4302,0.5215
22,hidden_variable_identification,no_graph,1.0,0.9672,0.8000,0.6569,0.6294
22,hidden_variable_identification,shuffled_graph,1.0,0.9791,0.5000,0.6131,0.6814
22,hidden_variable_identification,wrong_graph,1.0,0.9719,0.8000,0.6569,0.6246
