id,corruption,emb_sim,mech_f1,graph_support
0,no_graph,0.976,1.0,0.5649
0,wrong_graph,0.9772,0.8,0.5519
0,shuffled_graph,0.974,0.8,0.5584
1,no_graph,0.9575,0.5714,0.4086
1,wrong_graph,0.9694,0.6667,0.3813
1,shuffled_graph,0.9756,0.6667,0.4358
2,no_graph,0.9546,0.75,0.4345
2,wrong_graph,0.9746,0.5,0.5357
2,shuffled_graph,0.9556,0.8571,0.4762
3,no_graph,0.9834,0.6667,0.5409
3,wrong_graph,0.975,0.5455,0.5597
3,shuffled_graph,0.9889,0.8,0.5157
4,no_graph,0.9806,0.7692,0.561
4,wrong_graph,0.9748,0.7692,0.5732
4,shuffled_graph,0.9792,0.6154,0.5854
5,no_graph,0.9947,0.6667,0.4712
5,wrong_graph,0.9868,0.6667,0.4567
5,shuffled_graph,0.9947,0.8571,0.4471
6,no_graph,0.9809,0.8,0.3585
6,wrong_graph,0.9738,0.6,0.4009
6,shuffled_graph,0.986,0.6,0.4245
7,no_graph,0.9841,0.4444,0.6957
7,wrong_graph,0.9827,0.6667,0.6
7,shuffled_graph,0.9811,0.25,0.7217
8,no_graph,0.9811,0.6667,0.574
8,wrong_graph,0.9765,0.2222,0.4911
8,shuffled_graph,0.9845,0.5,0.5799
9,no_graph,0.9805,0.6667,0.4488
9,wrong_graph,0.9577,0.2222,0.561
9,shuffled_graph,0.9699,0.3636,0.522
10,no_graph,0.9727,0.8571,0.5546
10,wrong_graph,0.9791,1.0,0.605
10,shuffled_graph,0.9724,0.5714,0.6303
11,no_graph,0.9743,0.6,0.55
11,wrong_graph,0.9766,0.4444,0.5944
11,shuffled_graph,0.9761,0.4,0.5722
12,no_graph,0.9778,0.6667,0.6457
12,wrong_graph,0.9863,0.8,0.6535
12,shuffled_graph,0.9826,0.6154,0.6614
13,no_graph,0.9771,0.8571,0.5303
13,wrong_graph,0.9557,0.6667,0.5833
13,shuffled_graph,0.9744,0.6667,0.5227
14,no_graph,0.9827,0.8,0.4881
14,wrong_graph,0.9763,0.3636,0.4643
14,shuffled_graph,0.9835,0.6667,0.4464
15,no_graph,0.9747,0.4444,0.575
15,wrong_graph,0.9798,0.4444,0.575
15,shuffled_graph,0.9752,0.8333,0.6083
16,no_graph,0.9737,1.0,0.5573
16,wrong_graph,0.9723,0.8571,0.5344
16,shuffled_graph,0.9619,0.75,0.5954
17,no_graph,0.9852,0.7692,0.5172
17,wrong_graph,0.9753,0.8571,0.5172
17,shuffled_graph,0.9812,0.8,0.477
18,no_graph,0.9885,0.6,0.6136
18,wrong_graph,0.9757,0.75,0.6136
18,shuffled_graph,0.9884,0.8571,0.6136
19,no_graph,0.9734,0.5714,0.5324
19,wrong_graph,0.9794,0.5,0.518
19,shuffled_graph,0.9728,0.5,0.5683
