id,question_type,source_stage,target_stage,layer,path_effect_emb,path_effect_mech
0,cross_domain_mapping,graph,synthesis,0,0.5904,0.5714
0,cross_domain_mapping,graph,synthesis,1,0.9565,0.5714
0,cross_domain_mapping,graph,synthesis,2,0.9502,0.5714
0,cross_domain_mapping,graph,synthesis,3,0.9256,0.5714
0,cross_domain_mapping,graph,synthesis,4,0.9134,0.5714
0,cross_domain_mapping,graph,synthesis,5,0.9096,0.5714
0,cross_domain_mapping,graph,synthesis,6,0.9240,0.5714
0,cross_domain_mapping,graph,synthesis,7,0.9284,0.5714
0,cross_domain_mapping,graph,synthesis,8,0.9218,0.5714
0,cross_domain_mapping,graph,synthesis,9,0.9139,0.5714
0,cross_domain_mapping,graph,synthesis,10,0.9132,0.5714
0,cross_domain_mapping,graph,synthesis,20,0.8747,0.5714
0,cross_domain_mapping,graph,synthesis,21,0.8858,0.5714
0,cross_domain_mapping,graph,synthesis,22,0.8697,0.5714
0,cross_domain_mapping,graph,synthesis,23,0.8596,0.5714
0,cross_domain_mapping,graph,synthesis,24,0.8672,0.5714
0,cross_domain_mapping,graph,synthesis,28,0.9180,0.5714
0,cross_domain_mapping,graph,synthesis,29,0.9214,0.5714
0,cross_domain_mapping,graph,synthesis,30,0.9348,0.5714
0,cross_domain_mapping,graph,synthesis,31,0.9436,0.5714
0,cross_domain_mapping,graph,synthesis,32,0.9519,0.5714
0,cross_domain_mapping,graph,synthesis,36,0.7882,0.5714
0,cross_domain_mapping,patterns,synthesis,0,0.6623,0.5714
0,cross_domain_mapping,patterns,synthesis,1,0.9637,0.5714
0,cross_domain_mapping,patterns,synthesis,2,0.9575,0.5714
0,cross_domain_mapping,patterns,synthesis,3,0.9328,0.5714
0,cross_domain_mapping,patterns,synthesis,4,0.9234,0.5714
0,cross_domain_mapping,patterns,synthesis,5,0.9179,0.5714
0,cross_domain_mapping,patterns,synthesis,6,0.9289,0.5714
0,cross_domain_mapping,patterns,synthesis,7,0.9312,0.5714
0,cross_domain_mapping,patterns,synthesis,8,0.9284,0.5714
0,cross_domain_mapping,patterns,synthesis,9,0.9162,0.5714
0,cross_domain_mapping,patterns,synthesis,10,0.9145,0.5714
0,cross_domain_mapping,patterns,synthesis,20,0.9070,0.5714
0,cross_domain_mapping,patterns,synthesis,21,0.9133,0.5714
0,cross_domain_mapping,patterns,synthesis,22,0.9023,0.5714
0,cross_domain_mapping,patterns,synthesis,23,0.8986,0.5714
0,cross_domain_mapping,patterns,synthesis,24,0.8992,0.5714
0,cross_domain_mapping,patterns,synthesis,28,0.9229,0.5714
0,cross_domain_mapping,patterns,synthesis,29,0.9208,0.5714
0,cross_domain_mapping,patterns,synthesis,30,0.9285,0.5714
0,cross_domain_mapping,patterns,synthesis,31,0.9392,0.5714
0,cross_domain_mapping,patterns,synthesis,32,0.9453,0.5714
0,cross_domain_mapping,patterns,synthesis,36,0.7325,0.5714
