id,question_type,condition,emb_sim_to_normal,mech_f1_to_normal,graph_support,token_f1_to_normal
0,cross_domain_mapping,normal,1.0,1.0,0.6429,1.0
0,cross_domain_mapping,shuffled_content,0.9721,0.5000,0.4416,0.5217
0,cross_domain_mapping,no_tags,0.9728,0.8571,0.5584,0.5257
0,cross_domain_mapping,shuffled_tags,0.9743,0.8571,0.5260,0.5847
1,cross_domain_mapping,normal,1.0,1.0,0.5525,1.0
1,cross_domain_mapping,shuffled_content,0.9761,0.4000,0.5136,0.6779
1,cross_domain_mapping,no_tags,0.9720,0.6667,0.5058,0.7562
1,cross_domain_mapping,shuffled_tags,0.9746,1.0000,0.5953,0.7778
2,causal_multiscale_reasoning,normal,1.0,1.0,0.5595,1.0
2,causal_multiscale_reasoning,shuffled_content,0.9737,0.8000,0.6607,0.6943
2,causal_multiscale_reasoning,no_tags,0.9716,0.6667,0.7500,0.7033
2,causal_multiscale_reasoning,shuffled_tags,0.9847,0.6667,0.5893,0.6615
3,hidden_variable_identification,normal,1.0,1.0,0.5849,1.0
3,hidden_variable_identification,shuffled_content,0.9770,0.6667,0.5849,0.7413
3,hidden_variable_identification,no_tags,0.9819,0.5455,0.6164,0.6963
3,hidden_variable_identification,shuffled_tags,0.9900,0.7273,0.5472,0.7734
4,model_abstraction_and_breakdown,normal,1.0,1.0,0.6890,1.0
4,model_abstraction_and_breakdown,shuffled_content,0.9689,0.0000,0.5915,0.6077
4,model_abstraction_and_breakdown,no_tags,0.9704,0.2000,0.6646,0.6441
4,model_abstraction_and_breakdown,shuffled_tags,0.9810,0.4615,0.6829,0.7014
5,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.6346,1.0
5,tradeoff_and_non_monotonicity,shuffled_content,0.9899,1.0000,0.5913,0.8517
5,tradeoff_and_non_monotonicity,no_tags,0.9852,0.8889,0.6346,0.8528
5,tradeoff_and_non_monotonicity,shuffled_tags,0.9887,0.6667,0.5913,0.7987
6,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.4906,1.0
6,tradeoff_and_non_monotonicity,shuffled_content,0.9696,0.7273,0.5849,0.5211
6,tradeoff_and_non_monotonicity,no_tags,0.9775,0.6667,0.5472,0.5714
6,tradeoff_and_non_monotonicity,shuffled_tags,0.9704,0.7273,0.6698,0.5800
7,model_abstraction_and_breakdown,normal,1.0,1.0,0.7043,1.0
7,model_abstraction_and_breakdown,shuffled_content,0.9742,0.3333,0.6174,0.6129
7,model_abstraction_and_breakdown,no_tags,0.9755,0.3333,0.6609,0.6100
7,model_abstraction_and_breakdown,shuffled_tags,0.9670,0.3333,0.6174,0.6169
8,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.6746,1.0
8,tradeoff_and_non_monotonicity,shuffled_content,0.9753,0.4444,0.6746,0.6326
8,tradeoff_and_non_monotonicity,no_tags,0.9869,0.6667,0.7278,0.6605
8,tradeoff_and_non_monotonicity,shuffled_tags,0.9834,0.4444,0.7515,0.6581
9,model_abstraction_and_breakdown,normal,1.0,1.0,0.5024,1.0
9,model_abstraction_and_breakdown,shuffled_content,0.9616,0.3333,0.6146,0.5903
9,model_abstraction_and_breakdown,no_tags,0.9529,0.5000,0.6683,0.5402
9,model_abstraction_and_breakdown,shuffled_tags,0.9549,0.2857,0.6585,0.5773
10,hidden_variable_identification,normal,1.0,1.0,0.6807,1.0
10,hidden_variable_identification,shuffled_content,0.9361,0.4000,0.6050,0.5461
10,hidden_variable_identification,no_tags,0.9609,0.4000,0.6555,0.6863
10,hidden_variable_identification,shuffled_tags,0.9519,0.2000,0.4790,0.5318
11,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.6333,1.0
11,tradeoff_and_non_monotonicity,shuffled_content,0.9767,0.6667,0.6278,0.6785
11,tradeoff_and_non_monotonicity,no_tags,0.9195,0.6667,0.6278,0.6458
11,tradeoff_and_non_monotonicity,shuffled_tags,0.9159,0.6667,0.5000,0.6096
12,hidden_variable_identification,normal,1.0,1.0,0.8189,1.0
12,hidden_variable_identification,shuffled_content,0.9706,0.7273,0.6142,0.6272
12,hidden_variable_identification,no_tags,0.9770,0.4444,0.5906,0.6131
12,hidden_variable_identification,shuffled_tags,0.9621,0.6000,0.6220,0.6364
13,hidden_variable_identification,normal,1.0,1.0,0.6667,1.0
13,hidden_variable_identification,shuffled_content,0.9604,0.6667,0.6667,0.7309
