id,question_type,corruption,n_clean_edges,n_corr_edges,directed_edge_f1,entity_overlap
0,cross_domain_mapping,no_graph,4,0,0.0,0.0
0,cross_domain_mapping,wrong_graph,4,1,0.0,0.0
0,cross_domain_mapping,shuffled_graph,4,0,0.0,0.0
1,cross_domain_mapping,no_graph,1,0,0.0,0.0
1,cross_domain_mapping,wrong_graph,1,13,0.0,0.0
1,cross_domain_mapping,shuffled_graph,1,7,0.0,0.0
2,causal_multiscale_reasoning,no_graph,13,0,0.0,0.0
2,causal_multiscale_reasoning,wrong_graph,13,0,0.0,0.0
2,causal_multiscale_reasoning,shuffled_graph,13,8,0.0952,0.6111
3,hidden_variable_identification,no_graph,0,0,0.0,0.0
3,hidden_variable_identification,wrong_graph,0,2,0.0,0.0
3,hidden_variable_identification,shuffled_graph,0,6,0.0,0.0
4,model_abstraction_and_breakdown,no_graph,2,0,0.0,0.0
4,model_abstraction_and_breakdown,wrong_graph,2,8,0.0,0.0
4,model_abstraction_and_breakdown,shuffled_graph,2,0,0.0,0.0
5,tradeoff_and_non_monotonicity,no_graph,8,0,0.0,0.0
5,tradeoff_and_non_monotonicity,wrong_graph,8,3,0.0,0.0
5,tradeoff_and_non_monotonicity,shuffled_graph,8,4,0.1667,0.2667
6,tradeoff_and_non_monotonicity,no_graph,3,0,0.0,0.0
6,tradeoff_and_non_monotonicity,wrong_graph,3,2,0.0,0.0
6,tradeoff_and_non_monotonicity,shuffled_graph,3,6,0.0,0.0
7,model_abstraction_and_breakdown,no_graph,2,0,0.0,0.0
7,model_abstraction_and_breakdown,wrong_graph,2,2,0.0,0.0
7,model_abstraction_and_breakdown,shuffled_graph,2,2,0.0,0.0
8,tradeoff_and_non_monotonicity,no_graph,2,0,0.0,0.0
8,tradeoff_and_non_monotonicity,wrong_graph,2,7,0.0,0.0
8,tradeoff_and_non_monotonicity,shuffled_graph,2,6,0.0,0.0
9,model_abstraction_and_breakdown,no_graph,7,0,0.0,0.0
9,model_abstraction_and_breakdown,wrong_graph,7,0,0.0,0.0
9,model_abstraction_and_breakdown,shuffled_graph,7,4,0.3636,0.4615
10,hidden_variable_identification,no_graph,0,0,0.0,0.0
10,hidden_variable_identification,wrong_graph,0,3,0.0,0.0
10,hidden_variable_identification,shuffled_graph,0,0,0.0,0.0
11,tradeoff_and_non_monotonicity,no_graph,3,0,0.0,0.0
11,tradeoff_and_non_monotonicity,wrong_graph,3,4,0.0,0.0
11,tradeoff_and_non_monotonicity,shuffled_graph,3,1,0.5,0.4
12,hidden_variable_identification,no_graph,4,0,0.0,0.0
12,hidden_variable_identification,wrong_graph,4,0,0.0,0.0
12,hidden_variable_identification,shuffled_graph,4,1,0.0,0.25
13,hidden_variable_identification,no_graph,0,0,0.0,0.0
13,hidden_variable_identification,wrong_graph,0,3,0.0,0.0
13,hidden_variable_identification,shuffled_graph,0,0,0.0,0.0
14,hidden_variable_identification,no_graph,3,0,0.0,0.0
14,hidden_variable_identification,wrong_graph,3,0,0.0,0.0
14,hidden_variable_identification,shuffled_graph,3,1,0.5,0.5
15,hidden_variable_identification,no_graph,0,0,0.0,0.0
15,hidden_variable_identification,wrong_graph,0,1,0.0,0.0
15,hidden_variable_identification,shuffled_graph,0,0,0.0,0.0
16,model_abstraction_and_breakdown,no_graph,1,0,0.0,0.0
16,model_abstraction_and_breakdown,wrong_graph,1,1,0.0,0.0
16,model_abstraction_and_breakdown,shuffled_graph,1,3,0.0,0.0
17,hidden_variable_identification,no_graph,1,0,0.0,0.0
17,hidden_variable_identification,wrong_graph,1,0,0.0,0.0
17,hidden_variable_identification,shuffled_graph,1,2,0.0,0.0
18,hidden_variable_identification,no_graph,0,0,0.0,0.0
18,hidden_variable_identification,wrong_graph,0,1,0.0,0.0
18,hidden_variable_identification,shuffled_graph,0,0,0.0,0.0
19,model_abstraction_and_breakdown,no_graph,1,0,0.0,0.0
19,model_abstraction_and_breakdown,wrong_graph,1,6,0.0,0.0
19,model_abstraction_and_breakdown,shuffled_graph,1,1,0.0,0.0
20,hidden_variable_identification,no_graph,6,0,0.0,0.0
20,hidden_variable_identification,wrong_graph,6,1,0.0,0.0
20,hidden_variable_identification,shuffled_graph,6,2,0.25,0.4
21,hidden_variable_identification,no_graph,1,0,0.0,0.0
21,hidden_variable_identification,wrong_graph,1,1,0.0,0.0
21,hidden_variable_identification,shuffled_graph,1,3,0.0,0.0
22,hidden_variable_identification,no_graph,1,0,0.0,0.0
22,hidden_variable_identification,wrong_graph,1,2,0.0,0.0
22,hidden_variable_identification,shuffled_graph,1,1,0.0,0.5
23,model_abstraction_and_breakdown,no_graph,2,0,0.0,0.0
23,model_abstraction_and_breakdown,wrong_graph,2,2,0.0,0.0
23,model_abstraction_and_breakdown,shuffled_graph,2,2,0.5,0.75
24,hidden_variable_identification,no_graph,2,0,0.0,0.0
24,hidden_variable_identification,wrong_graph,2,1,0.0,0.0
24,hidden_variable_identification,shuffled_graph,2,0,0.0,0.0
25,hidden_variable_identification,no_graph,1,0,0.0,0.0
25,hidden_variable_identification,wrong_graph,1,8,0.0,0.0
25,hidden_variable_identification,shuffled_graph,1,0,0.0,0.0
26,hidden_variable_identification,no_graph,8,0,0.0,0.0
26,hidden_variable_identification,wrong_graph,8,2,0.0,0.0
26,hidden_variable_identification,shuffled_graph,8,5,0.1538,0.6
27,hidden_variable_identification,no_graph,2,0,0.0,0.0
27,hidden_variable_identification,wrong_graph,2,5,0.0,0.0
27,hidden_variable_identification,shuffled_graph,2,1,0.0,0.25
28,model_abstraction_and_breakdown,no_graph,5,0,0.0,0.0
28,model_abstraction_and_breakdown,wrong_graph,5,4,0.0,0.0
28,model_abstraction_and_breakdown,shuffled_graph,5,2,0.2857,0.375
29,hidden_variable_identification,no_graph,4,0,0.0,0.0
29,hidden_variable_identification,wrong_graph,4,5,0.0,0.0
29,hidden_variable_identification,shuffled_graph,4,3,0.5714,0.625
30,model_abstraction_and_breakdown,no_graph,5,0,0.0,0.0
30,model_abstraction_and_breakdown,wrong_graph,5,1,0.0,0.0
30,model_abstraction_and_breakdown,shuffled_graph,5,6,0.0,0.1429
31,model_abstraction_and_breakdown,no_graph,1,0,0.0,0.0
31,model_abstraction_and_breakdown,wrong_graph,1,1,0.0,0.0
31,model_abstraction_and_breakdown,shuffled_graph,1,0,0.0,0.0
32,tradeoff_and_non_monotonicity,no_graph,1,0,0.0,0.0
32,tradeoff_and_non_monotonicity,wrong_graph,1,2,0.0,0.0
32,tradeoff_and_non_monotonicity,shuffled_graph,1,2,0.0,0.0
33,tradeoff_and_non_monotonicity,no_graph,2,0,0.0,0.0
33,tradeoff_and_non_monotonicity,wrong_graph,2,1,0.0,0.0
33,tradeoff_and_non_monotonicity,shuffled_graph,2,7,0.0,0.3333
34,hidden_variable_identification,no_graph,1,0,0.0,0.0
34,hidden_variable_identification,wrong_graph,1,7,0.0,0.0
34,hidden_variable_identification,shuffled_graph,1,0,0.0,0.0
35,hidden_variable_identification,no_graph,7,0,0.0,0.0
35,hidden_variable_identification,wrong_graph,7,2,0.0,0.0
35,hidden_variable_identification,shuffled_graph,7,12,0.0,0.0909
36,tradeoff_and_non_monotonicity,no_graph,2,0,0.0,0.0
36,tradeoff_and_non_monotonicity,wrong_graph,2,0,0.0,0.0
36,tradeoff_and_non_monotonicity,shuffled_graph,2,1,0.0,0.0
37,hidden_variable_identification,no_graph,0,0,0.0,0.0
37,hidden_variable_identification,wrong_graph,0,1,0.0,0.0
37,hidden_variable_identification,shuffled_graph,0,4,0.0,0.0
38,model_abstraction_and_breakdown,no_graph,1,0,0.0,0.0
38,model_abstraction_and_breakdown,wrong_graph,1,5,0.0,0.0
38,model_abstraction_and_breakdown,shuffled_graph,1,0,0.0,0.0
39,tradeoff_and_non_monotonicity,no_graph,5,0,0.0,0.0
39,tradeoff_and_non_monotonicity,wrong_graph,5,4,0.0,0.0
39,tradeoff_and_non_monotonicity,shuffled_graph,5,3,0.0,0.5556
