id,question_type,control_type,layer,clean_mf1,corrupt_mf1,patched_mf1,mf1_recovery
0,cross_domain_mapping,random_region,3,1.0000,1.0000,0.0000,0.0000
0,cross_domain_mapping,random_region,7,1.0000,1.0000,0.0000,0.0000
0,cross_domain_mapping,random_region,8,1.0000,1.0000,0.0000,0.0000
0,cross_domain_mapping,random_region,9,1.0000,1.0000,0.0000,0.0000
0,cross_domain_mapping,random_region,10,1.0000,1.0000,0.0000,0.0000
0,cross_domain_mapping,random_region,15,1.0000,1.0000,0.0000,0.0000
0,cross_domain_mapping,random_region,25,1.0000,1.0000,0.5000,1.0000
0,cross_domain_mapping,random_region,30,1.0000,1.0000,0.5000,1.0000
0,cross_domain_mapping,random_region,33,1.0000,1.0000,0.5000,1.0000
0,cross_domain_mapping,random_region,36,1.0000,1.0000,0.5714,1.0000
1,cross_domain_mapping,random_region,3,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,7,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,8,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,9,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,10,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,15,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,25,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,30,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,33,0.5000,0.6667,0.0000,0.0000
1,cross_domain_mapping,random_region,36,0.5000,0.6667,0.3333,1.0000
2,causal_multiscale_reasoning,random_region,3,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,7,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,8,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,9,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,10,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,15,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,25,0.6667,0.7273,0.0000,1.0000
2,causal_multiscale_reasoning,random_region,30,0.6667,0.7273,0.0000,0.0000
2,causal_multiscale_reasoning,random_region,33,0.6667,0.7273,0.2857,0.0000
2,causal_multiscale_reasoning,random_region,36,0.6667,0.7273,0.7273,1.0000
3,hidden_variable_identification,random_region,3,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,7,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,8,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,9,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,10,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,15,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,25,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,30,0.5714,0.5000,0.0000,1.0000
3,hidden_variable_identification,random_region,33,0.5714,0.5000,0.0000,0.0000
3,hidden_variable_identification,random_region,36,0.5714,0.5000,0.1818,1.0000
4,model_abstraction_and_breakdown,random_region,3,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,7,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,8,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,9,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,10,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,15,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,25,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,30,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,33,0.6154,0.5000,0.0000,0.0000
4,model_abstraction_and_breakdown,random_region,36,0.6154,0.5000,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,3,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,7,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,8,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,9,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,10,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,15,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,25,0.4000,0.4615,0.0000,0.0000
5,tradeoff_and_non_monotonicity,random_region,30,0.4000,0.4615,0.2222,1.0000
