id,question_type,patch_type,layer,clean_mf1,patched_mf1,mf1_change
0,cross_domain_mapping,same_clean,36,0.8,0.4,-0.4
0,cross_domain_mapping,random_clean,36,0.8,0.4,-0.4
1,cross_domain_mapping,same_clean,36,0.5455,0.2857,-0.2598
1,cross_domain_mapping,random_clean,36,0.5455,0.4444,-0.1011
2,causal_multiscale_reasoning,same_clean,36,0.6667,0.7273,0.0606
2,causal_multiscale_reasoning,random_clean,36,0.6667,0.5,-0.1667
3,hidden_variable_identification,same_clean,36,0.5714,0.1818,-0.3896
3,hidden_variable_identification,random_clean,36,0.5714,0.0,-0.5714
4,model_abstraction_and_breakdown,same_clean,36,0.6154,0.0,-0.6154
4,model_abstraction_and_breakdown,random_clean,36,0.6154,0.0,-0.6154
5,tradeoff_and_non_monotonicity,same_clean,36,0.4,0.5,0.1
5,tradeoff_and_non_monotonicity,random_clean,36,0.4,0.0,-0.4
6,tradeoff_and_non_monotonicity,same_clean,36,0.6154,0.3636,-0.2518
6,tradeoff_and_non_monotonicity,random_clean,36,0.6154,0.0,-0.6154
7,model_abstraction_and_breakdown,same_clean,36,0.0,0.5,0.5
7,model_abstraction_and_breakdown,random_clean,36,0.0,0.0,0.0
8,tradeoff_and_non_monotonicity,same_clean,36,0.4615,0.4615,0.0
8,tradeoff_and_non_monotonicity,random_clean,36,0.4615,0.1818,-0.2797
9,model_abstraction_and_breakdown,same_clean,36,0.3636,0.2857,-0.0779
9,model_abstraction_and_breakdown,random_clean,36,0.3636,0.0,-0.3636
10,hidden_variable_identification,same_clean,36,0.5,0.0,-0.5
10,hidden_variable_identification,random_clean,36,0.5,0.2222,-0.2778
11,tradeoff_and_non_monotonicity,same_clean,36,0.3636,0.4,0.0364
11,tradeoff_and_non_monotonicity,random_clean,36,0.3636,0.2222,-0.1414
12,hidden_variable_identification,same_clean,36,0.7692,0.3333,-0.4359
12,hidden_variable_identification,random_clean,36,0.7692,0.0,-0.7692
13,hidden_variable_identification,same_clean,36,0.5455,0.0,-0.5455
13,hidden_variable_identification,random_clean,36,0.5455,0.2857,-0.2598
14,hidden_variable_identification,same_clean,36,0.7273,0.0,-0.7273
14,hidden_variable_identification,random_clean,36,0.7273,0.0,-0.7273
