id,question_type,layer,stage,reasoning_answer_cosine_distance,reasoning_answer_cosine_similarity
0,cross_domain_mapping,0,brainstorm,0.081203,0.918797
0,cross_domain_mapping,1,brainstorm,0.007978,0.992022
0,cross_domain_mapping,2,brainstorm,0.008316,0.991684
0,cross_domain_mapping,3,brainstorm,0.009353,0.990647
0,cross_domain_mapping,4,brainstorm,0.010527,0.989473
0,cross_domain_mapping,5,brainstorm,0.009768,0.990232
0,cross_domain_mapping,6,brainstorm,0.008195,0.991805
0,cross_domain_mapping,7,brainstorm,0.000812,0.999188
0,cross_domain_mapping,8,brainstorm,0.001088,0.998912
0,cross_domain_mapping,9,brainstorm,0.0016,0.9984
0,cross_domain_mapping,10,brainstorm,0.00183,0.99817
0,cross_domain_mapping,11,brainstorm,0.002256,0.997744
0,cross_domain_mapping,12,brainstorm,0.002701,0.997299
0,cross_domain_mapping,13,brainstorm,0.002796,0.997204
0,cross_domain_mapping,14,brainstorm,0.003001,0.996999
0,cross_domain_mapping,15,brainstorm,0.00315,0.99685
0,cross_domain_mapping,16,brainstorm,0.003501,0.996499
0,cross_domain_mapping,17,brainstorm,0.003719,0.996281
0,cross_domain_mapping,18,brainstorm,0.004317,0.995683
0,cross_domain_mapping,19,brainstorm,0.004968,0.995032
0,cross_domain_mapping,20,brainstorm,0.006065,0.993935
0,cross_domain_mapping,21,brainstorm,0.006503,0.993497
0,cross_domain_mapping,22,brainstorm,0.007523,0.992477
0,cross_domain_mapping,23,brainstorm,0.009376,0.990624
0,cross_domain_mapping,24,brainstorm,0.010853,0.989147
0,cross_domain_mapping,25,brainstorm,0.010918,0.989082
0,cross_domain_mapping,26,brainstorm,0.011599,0.988401
0,cross_domain_mapping,27,brainstorm,0.011617,0.988383
0,cross_domain_mapping,28,brainstorm,0.013025,0.986975
0,cross_domain_mapping,29,brainstorm,0.01359,0.98641
0,cross_domain_mapping,30,brainstorm,0.012573,0.987427
0,cross_domain_mapping,31,brainstorm,0.012194,0.987806
0,cross_domain_mapping,32,brainstorm,0.011221,0.988779
0,cross_domain_mapping,33,brainstorm,0.01065,0.98935
0,cross_domain_mapping,34,brainstorm,0.008896,0.991104
0,cross_domain_mapping,35,brainstorm,0.005543,0.994457
0,cross_domain_mapping,36,brainstorm,0.056139,0.943861
0,cross_domain_mapping,0,graph,0.119914,0.880086
0,cross_domain_mapping,1,graph,0.009679,0.990321
0,cross_domain_mapping,2,graph,0.010362,0.989638
0,cross_domain_mapping,3,graph,0.012008,0.987992
0,cross_domain_mapping,4,graph,0.013714,0.986286
0,cross_domain_mapping,5,graph,0.011902,0.988098
0,cross_domain_mapping,6,graph,0.009528,0.990472
0,cross_domain_mapping,7,graph,0.000908,0.999092
0,cross_domain_mapping,8,graph,0.00123,0.99877
0,cross_domain_mapping,9,graph,0.001785,0.998215
0,cross_domain_mapping,10,graph,0.001938,0.998062
0,cross_domain_mapping,11,graph,0.002111,0.997889
0,cross_domain_mapping,12,graph,0.00251,0.99749
0,cross_domain_mapping,13,graph,0.002669,0.997331
0,cross_domain_mapping,14,graph,0.002946,0.997054
0,cross_domain_mapping,15,graph,0.003277,0.996723
0,cross_domain_mapping,16,graph,0.003718,0.996282
0,cross_domain_mapping,17,graph,0.003915,0.996085
0,cross_domain_mapping,18,graph,0.004816,0.995184
0,cross_domain_mapping,19,graph,0.005705,0.994295
0,cross_domain_mapping,20,graph,0.007249,0.992751
0,cross_domain_mapping,21,graph,0.008072,0.991928
0,cross_domain_mapping,22,graph,0.009707,0.990293
0,cross_domain_mapping,23,graph,0.012673,0.987327
0,cross_domain_mapping,24,graph,0.014855,0.985145
0,cross_domain_mapping,25,graph,0.014823,0.985177
0,cross_domain_mapping,26,graph,0.015636,0.984364
0,cross_domain_mapping,27,graph,0.015564,0.984436
0,cross_domain_mapping,28,graph,0.017185,0.982815
0,cross_domain_mapping,29,graph,0.01759,0.98241
0,cross_domain_mapping,30,graph,0.016269,0.983731
0,cross_domain_mapping,31,graph,0.015501,0.984499
0,cross_domain_mapping,32,graph,0.014052,0.985948
0,cross_domain_mapping,33,graph,0.013663,0.986337
0,cross_domain_mapping,34,graph,0.011483,0.988517
0,cross_domain_mapping,35,graph,0.007271,0.992729
0,cross_domain_mapping,36,graph,0.097763,0.902237
0,cross_domain_mapping,0,patterns,0.130727,0.869273
0,cross_domain_mapping,1,patterns,0.014782,0.985218
0,cross_domain_mapping,2,patterns,0.015677,0.984323
0,cross_domain_mapping,3,patterns,0.018585,0.981415
0,cross_domain_mapping,4,patterns,0.022013,0.977987
0,cross_domain_mapping,5,patterns,0.018236,0.981764
0,cross_domain_mapping,6,patterns,0.015314,0.984686
0,cross_domain_mapping,7,patterns,0.001428,0.998572
0,cross_domain_mapping,8,patterns,0.001973,0.998027
0,cross_domain_mapping,9,patterns,0.002765,0.997235
0,cross_domain_mapping,10,patterns,0.003192,0.996808
0,cross_domain_mapping,11,patterns,0.003658,0.996342
0,cross_domain_mapping,12,patterns,0.004318,0.995682
0,cross_domain_mapping,13,patterns,0.004622,0.995378
0,cross_domain_mapping,14,patterns,0.005112,0.994888
0,cross_domain_mapping,15,patterns,0.005642,0.994358
0,cross_domain_mapping,16,patterns,0.006331,0.993669
0,cross_domain_mapping,17,patterns,0.006926,0.993074
