id,question_type,layer,thinking_answer_cosine_similarity,thinking_answer_cosine_distance,n_thinking_tokens,n_answer_tokens
1,cross_domain_mapping,0,0.873368,0.126632,553,647
1,cross_domain_mapping,1,0.989846,0.010154,553,647
1,cross_domain_mapping,2,0.988857,0.011143,553,647
1,cross_domain_mapping,3,0.986629,0.013371,553,647
1,cross_domain_mapping,4,0.983007,0.016993,553,647
1,cross_domain_mapping,5,0.986919,0.013081,553,647
1,cross_domain_mapping,6,0.988698,0.011302,553,647
1,cross_domain_mapping,7,0.689901,0.310099,553,647
1,cross_domain_mapping,8,0.718112,0.281888,553,647
1,cross_domain_mapping,9,0.737416,0.262584,553,647
1,cross_domain_mapping,10,0.747423,0.252577,553,647
1,cross_domain_mapping,11,0.77744,0.22256,553,647
1,cross_domain_mapping,12,0.793916,0.206084,553,647
1,cross_domain_mapping,13,0.824989,0.175011,553,647
1,cross_domain_mapping,14,0.838078,0.161922,553,647
1,cross_domain_mapping,15,0.851827,0.148173,553,647
1,cross_domain_mapping,16,0.862625,0.137375,553,647
1,cross_domain_mapping,17,0.945593,0.054407,553,647
1,cross_domain_mapping,18,0.945824,0.054176,553,647
1,cross_domain_mapping,19,0.952191,0.047809,553,647
1,cross_domain_mapping,20,0.946165,0.053835,553,647
1,cross_domain_mapping,21,0.951741,0.048259,553,647
1,cross_domain_mapping,22,0.95073,0.04927,553,647
1,cross_domain_mapping,23,0.937108,0.062892,553,647
1,cross_domain_mapping,24,0.946161,0.053839,553,647
1,cross_domain_mapping,25,0.947646,0.052354,553,647
1,cross_domain_mapping,26,0.950054,0.049946,553,647
1,cross_domain_mapping,27,0.951915,0.048085,553,647
1,cross_domain_mapping,28,0.951518,0.048482,553,647
1,cross_domain_mapping,29,0.956686,0.043314,553,647
1,cross_domain_mapping,30,0.965085,0.034915,553,647
1,cross_domain_mapping,31,0.960591,0.039409,553,647
1,cross_domain_mapping,32,0.966864,0.033136,553,647
1,cross_domain_mapping,33,0.965761,0.034239,553,647
1,cross_domain_mapping,34,0.974546,0.025454,553,647
1,cross_domain_mapping,35,0.984745,0.015255,553,647
1,cross_domain_mapping,36,0.588933,0.411067,553,647
2,cross_domain_mapping,0,0.898825,0.101175,901,814
2,cross_domain_mapping,1,0.992019,0.007981,901,814
2,cross_domain_mapping,2,0.991293,0.008707,901,814
2,cross_domain_mapping,3,0.987658,0.012342,901,814
2,cross_domain_mapping,4,0.984138,0.015862,901,814
2,cross_domain_mapping,5,0.988023,0.011977,901,814
2,cross_domain_mapping,6,0.989568,0.010432,901,814
2,cross_domain_mapping,7,0.82786,0.17214,901,814
2,cross_domain_mapping,8,0.845672,0.154328,901,814
2,cross_domain_mapping,9,0.854972,0.145028,901,814
2,cross_domain_mapping,10,0.861328,0.138672,901,814
2,cross_domain_mapping,11,0.88007,0.11993,901,814
2,cross_domain_mapping,12,0.890476,0.109524,901,814
2,cross_domain_mapping,13,0.909368,0.090632,901,814
2,cross_domain_mapping,14,0.914684,0.085316,901,814
2,cross_domain_mapping,15,0.922783,0.077217,901,814
2,cross_domain_mapping,16,0.927437,0.072563,901,814
2,cross_domain_mapping,17,0.970022,0.029978,901,814
2,cross_domain_mapping,18,0.965605,0.034395,901,814
2,cross_domain_mapping,19,0.969841,0.030159,901,814
2,cross_domain_mapping,20,0.959627,0.040373,901,814
2,cross_domain_mapping,21,0.963985,0.036015,901,814
2,cross_domain_mapping,22,0.962272,0.037728,901,814
2,cross_domain_mapping,23,0.945776,0.054224,901,814
2,cross_domain_mapping,24,0.953482,0.046518,901,814
2,cross_domain_mapping,25,0.954786,0.045214,901,814
2,cross_domain_mapping,26,0.957438,0.042562,901,814
2,cross_domain_mapping,27,0.959683,0.040317,901,814
2,cross_domain_mapping,28,0.958812,0.041188,901,814
2,cross_domain_mapping,29,0.963521,0.036479,901,814
2,cross_domain_mapping,30,0.970982,0.029018,901,814
2,cross_domain_mapping,31,0.96703,0.03297,901,814
2,cross_domain_mapping,32,0.973,0.027,901,814
2,cross_domain_mapping,33,0.97149,0.02851,901,814
2,cross_domain_mapping,34,0.978763,0.021237,901,814
2,cross_domain_mapping,35,0.98751,0.01249,901,814
2,cross_domain_mapping,36,0.718203,0.281797,901,814
3,causal_multiscale_reasoning,0,0.884565,0.115435,1392,684
3,causal_multiscale_reasoning,1,0.991827,0.008173,1392,684
3,causal_multiscale_reasoning,2,0.991005,0.008995,1392,684
3,causal_multiscale_reasoning,3,0.988091,0.011909,1392,684
3,causal_multiscale_reasoning,4,0.984007,0.015993,1392,684
