id,question_type,sim_graph_answer_to_brainstorm,sim_graph_answer_to_graph,sim_graph_answer_to_patterns,sim_graph_answer_to_synthesis,sim_graph_answer_to_qwen_thinking,sim_graph_answer_to_qwen_answer,closest_source
0,cross_domain_mapping,0.9002540111541748,0.9125269651412964,0.8370765447616577,0.968146026134491,0.809253990650177,0.8485604524612427,synthesis
1,cross_domain_mapping,0.9256442785263062,0.840706467628479,0.8287228345870972,0.9195890426635742,0.9118375778198242,0.937166690826416,qwen_answer
2,causal_multiscale_reasoning,0.9254123568534851,0.9162624478340149,0.8835600018501282,0.9711233377456665,0.8932434916496277,0.8939777612686157,synthesis
3,hidden_variable_identification,0.9421939849853516,0.9374844431877136,0.8970248699188232,0.9767846465110779,0.9036058187484741,0.9210443496704102,synthesis
4,model_abstraction_and_breakdown,0.9372490644454956,0.939847469329834,0.8875100016593933,0.9777718782424927,0.908388614654541,0.9110832214355469,synthesis
5,tradeoff_and_non_monotonicity,0.9564130306243896,0.9502674341201782,0.8344129323959351,0.9727034568786621,0.9370334148406982,0.9076979756355286,synthesis
6,tradeoff_and_non_monotonicity,0.9353427886962891,0.9489380717277527,0.8655575513839722,0.9837225675582886,0.9060821533203125,0.9049664735794067,synthesis
7,model_abstraction_and_breakdown,0.9236017465591431,0.9418147802352905,0.9188355207443237,0.9680123329162598,0.8957977294921875,0.9557873606681824,synthesis
8,tradeoff_and_non_monotonicity,0.9535949230194092,0.92252516746521,0.7752718329429626,0.9825685024261475,0.9254381656646729,0.8812661170959473,synthesis
9,model_abstraction_and_breakdown,0.9575896263122559,0.9088268280029297,0.896255612373352,0.9536793828010559,0.8952457904815674,0.9364916682243347,brainstorm
10,hidden_variable_identification,0.884514331817627,0.875237762928009,0.890590250492096,0.9267667531967163,0.8980425596237183,0.8954827785491943,synthesis
11,tradeoff_and_non_monotonicity,0.9168058633804321,0.900589108467102,0.898193895816803,0.9145150184631348,0.9145588874816895,0.9552867412567139,qwen_answer
12,hidden_variable_identification,0.9333377480506897,0.9487581253051758,0.8913031816482544,0.9606412649154663,0.88992840051651,0.9482199549674988,synthesis
13,hidden_variable_identification,0.9222922325134277,0.9287520051002502,0.9068346619606018,0.9753143191337585,0.8747742176055908,0.9371262788772583,synthesis
14,hidden_variable_identification,0.9399471282958984,0.9296205639839172,0.8783130645751953,0.9452791213989258,0.9112246632575989,0.9294989109039307,synthesis
15,hidden_variable_identification,0.9765348434448242,0.9270277619361877,0.8847346305847168,0.9715148210525513,0.958158016204834,0.9534732103347778,brainstorm
16,model_abstraction_and_breakdown,0.9390741586685181,0.9519342184066772,0.9353258609771729,0.9461386203765869,0.9084027409553528,0.9422544240951538,graph
17,hidden_variable_identification,0.8897175788879395,0.8769302368164062,0.8879168033599854,0.9497964978218079,0.4069734215736389,0.8788419961929321,synthesis
18,hidden_variable_identification,0.8878892660140991,0.8921104073524475,0.8391870260238647,0.9064573049545288,0.9129937887191772,0.8342159986495972,qwen_thinking
19,model_abstraction_and_breakdown,0.9498635530471802,0.8973893523216248,0.9037248492240906,0.974335789680481,0.9040399789810181,0.9582401514053345,synthesis
20,hidden_variable_identification,0.9433197379112244,0.9275884628295898,0.8934412002563477,0.9540775418281555,0.8813148140907288,0.9445071220397949,synthesis
21,hidden_variable_identification,0.8589943647384644,0.8657666444778442,0.8269774913787842,0.9478476047515869,0.8784052729606628,0.8392512798309326,synthesis
22,hidden_variable_identification,0.9531155824661255,0.9417375922203064,0.8881168365478516,0.9812671542167664,0.9302343130111694,0.9424513578414917,synthesis
23,model_abstraction_and_breakdown,0.9186829924583435,0.9058226346969604,0.8982207179069519,0.9784014225006104,0.8844537734985352,0.9618662595748901,synthesis
24,hidden_variable_identification,0.9288960695266724,0.9082220792770386,0.9257185459136963,0.9839168787002563,0.8916522264480591,0.8435946702957153,synthesis
25,hidden_variable_identification,0.8870320320129395,0.8914076089859009,0.9231727123260498,0.9598931074142456,0.8757098317146301,0.9255980849266052,synthesis
26,hidden_variable_identification,0.925784170627594,0.9003081917762756,0.8901799917221069,0.9539217352867126,0.855049729347229,0.9144132137298584,synthesis
27,hidden_variable_identification,0.9465156197547913,0.9324216842651367,0.9049967527389526,0.9708169102668762,0.8999437689781189,0.919177234172821,synthesis
28,model_abstraction_and_breakdown,0.9639028310775757,0.9227406978607178,0.9177415370941162,0.9806987047195435,0.9301944375038147,0.9471780061721802,synthesis
29,hidden_variable_identification,0.9381391406059265,0.927227258682251,0.9248945116996765,0.9699273109436035,0.9340397119522095,0.9149770736694336,synthesis
30,model_abstraction_and_breakdown,0.9129876494407654,0.8719516396522522,0.8902106285095215,0.9478553533554077,0.8735776543617249,0.896399199962616,synthesis
31,model_abstraction_and_breakdown,0.9570938348770142,0.9293451905250549,0.917343258857727,0.9686616659164429,0.9175608158111572,0.9503508806228638,synthesis
32,tradeoff_and_non_monotonicity,0.917198657989502,0.9166344404220581,0.9019948244094849,0.9594571590423584,0.8967369794845581,0.9470882415771484,synthesis
33,tradeoff_and_non_monotonicity,0.89527428150177,0.8930884599685669,0.9082109928131104,0.9578209519386292,0.9220337867736816,0.9386103749275208,synthesis
34,hidden_variable_identification,0.9119118452072144,0.9348733425140381,0.9195976853370667,0.9498000741004944,0.9041586518287659,0.93678879737854,synthesis
35,hidden_variable_identification,0.8392912149429321,0.906237006187439,0.8607836365699768,0.9436895251274109,0.8916326761245728,0.9312849044799805,synthesis
36,tradeoff_and_non_monotonicity,0.9431983232498169,0.9117474555969238,0.8279125690460205,0.9525026082992554,0.92254638671875,0.9569104909896851,qwen_answer
