id,question_type,layer,stage,similarity,layer_divergence
1,cross_domain_mapping,0,brainstorm,0.936856,0.126632
1,cross_domain_mapping,0,graph,0.85858,0.126632
1,cross_domain_mapping,0,patterns,0.819939,0.126632
1,cross_domain_mapping,0,synthesis,0.870779,0.126632
1,cross_domain_mapping,0,answer,0.932177,0.126632
1,cross_domain_mapping,1,brainstorm,0.932909,0.010154
1,cross_domain_mapping,1,graph,0.849451,0.010154
1,cross_domain_mapping,1,patterns,0.810828,0.010154
1,cross_domain_mapping,1,synthesis,0.861668,0.010154
1,cross_domain_mapping,1,answer,0.918363,0.010154
1,cross_domain_mapping,2,brainstorm,0.932951,0.011143
1,cross_domain_mapping,2,graph,0.849536,0.011143
1,cross_domain_mapping,2,patterns,0.810912,0.011143
1,cross_domain_mapping,2,synthesis,0.861753,0.011143
1,cross_domain_mapping,2,answer,0.918487,0.011143
1,cross_domain_mapping,3,brainstorm,0.933045,0.013371
1,cross_domain_mapping,3,graph,0.849727,0.013371
1,cross_domain_mapping,3,patterns,0.811102,0.013371
1,cross_domain_mapping,3,synthesis,0.861943,0.013371
1,cross_domain_mapping,3,answer,0.918768,0.013371
1,cross_domain_mapping,4,brainstorm,0.933196,0.016993
1,cross_domain_mapping,4,graph,0.850035,0.016993
1,cross_domain_mapping,4,patterns,0.811409,0.016993
1,cross_domain_mapping,4,synthesis,0.862252,0.016993
1,cross_domain_mapping,4,answer,0.919224,0.016993
1,cross_domain_mapping,5,brainstorm,0.933033,0.013081
1,cross_domain_mapping,5,graph,0.849702,0.013081
1,cross_domain_mapping,5,patterns,0.811077,0.013081
1,cross_domain_mapping,5,synthesis,0.861918,0.013081
1,cross_domain_mapping,5,answer,0.918732,0.013081
1,cross_domain_mapping,6,brainstorm,0.932958,0.011302
1,cross_domain_mapping,6,graph,0.84955,0.011302
1,cross_domain_mapping,6,patterns,0.810926,0.011302
1,cross_domain_mapping,6,synthesis,0.861766,0.011302
1,cross_domain_mapping,6,answer,0.918508,0.011302
1,cross_domain_mapping,7,brainstorm,0.938794,0.310099
1,cross_domain_mapping,7,graph,0.869192,0.310099
1,cross_domain_mapping,7,patterns,0.830705,0.310099
1,cross_domain_mapping,7,synthesis,0.881306,0.310099
1,cross_domain_mapping,7,answer,0.949956,0.310099
1,cross_domain_mapping,8,brainstorm,0.938849,0.281888
1,cross_domain_mapping,8,graph,0.867876,0.281888
1,cross_domain_mapping,8,patterns,0.829351,0.281888
1,cross_domain_mapping,8,synthesis,0.880007,0.281888
1,cross_domain_mapping,8,answer,0.947559,0.281888
1,cross_domain_mapping,9,brainstorm,0.938811,0.262584
1,cross_domain_mapping,9,graph,0.866908,0.262584
1,cross_domain_mapping,9,patterns,0.828359,0.262584
1,cross_domain_mapping,9,synthesis,0.87905,0.262584
1,cross_domain_mapping,9,answer,0.945847,0.262584
1,cross_domain_mapping,10,brainstorm,0.938768,0.252577
1,cross_domain_mapping,10,graph,0.866384,0.252577
1,cross_domain_mapping,10,patterns,0.827825,0.252577
1,cross_domain_mapping,10,synthesis,0.878533,0.252577
1,cross_domain_mapping,10,answer,0.944936,0.252577
1,cross_domain_mapping,11,brainstorm,0.938541,0.22256
1,cross_domain_mapping,11,graph,0.864728,0.22256
1,cross_domain_mapping,11,patterns,0.826139,0.22256
1,cross_domain_mapping,11,synthesis,0.876891,0.22256
1,cross_domain_mapping,11,answer,0.942112,0.22256
1,cross_domain_mapping,12,brainstorm,0.938355,0.206084
1,cross_domain_mapping,12,graph,0.863764,0.206084
1,cross_domain_mapping,12,patterns,0.825162,0.206084
1,cross_domain_mapping,12,synthesis,0.875934,0.206084
1,cross_domain_mapping,12,answer,0.940503,0.206084
1,cross_domain_mapping,13,brainstorm,0.937887,0.175011
1,cross_domain_mapping,13,graph,0.861841,0.175011
1,cross_domain_mapping,13,patterns,0.823219,0.175011
1,cross_domain_mapping,13,synthesis,0.874024,0.175011
1,cross_domain_mapping,13,answer,0.937357,0.175011
1,cross_domain_mapping,14,brainstorm,0.937644,0.161922
1,cross_domain_mapping,14,graph,0.86099,0.161922
1,cross_domain_mapping,14,patterns,0.822362,0.161922
1,cross_domain_mapping,14,synthesis,0.873178,0.161922
1,cross_domain_mapping,14,answer,0.93599,0.161922
1,cross_domain_mapping,15,brainstorm,0.93736,0.148173
1,cross_domain_mapping,15,graph,0.860072,0.148173
1,cross_domain_mapping,15,patterns,0.821437,0.148173
1,cross_domain_mapping,15,synthesis,0.872264,0.148173
1,cross_domain_mapping,15,answer,0.934526,0.148173
1,cross_domain_mapping,16,brainstorm,0.937116,0.137375
1,cross_domain_mapping,16,graph,0.859332,0.137375
1,cross_domain_mapping,16,patterns,0.820694,0.137375
1,cross_domain_mapping,16,synthesis,0.871527,0.137375
1,cross_domain_mapping,16,answer,0.933357,0.137375
1,cross_domain_mapping,17,brainstorm,0.934647,0.054407
1,cross_domain_mapping,17,graph,0.853126,0.054407
1,cross_domain_mapping,17,patterns,0.814486,0.054407
1,cross_domain_mapping,17,synthesis,0.865339,0.054407
1,cross_domain_mapping,17,answer,0.923827,0.054407
1,cross_domain_mapping,18,brainstorm,0.934639,0.054176
1,cross_domain_mapping,18,graph,0.853108,0.054176
1,cross_domain_mapping,18,patterns,0.814468,0.054176
1,cross_domain_mapping,18,synthesis,0.865321,0.054176
1,cross_domain_mapping,18,answer,0.923799,0.054176
1,cross_domain_mapping,19,brainstorm,0.934406,0.047809
1,cross_domain_mapping,19,graph,0.852594,0.047809
1,cross_domain_mapping,19,patterns,0.813955,0.047809
1,cross_domain_mapping,19,synthesis,0.864808,0.047809
1,cross_domain_mapping,19,answer,0.923028,0.047809
1,cross_domain_mapping,20,brainstorm,0.934626,0.053835
1,cross_domain_mapping,20,graph,0.85308,0.053835
1,cross_domain_mapping,20,patterns,0.81444,0.053835
1,cross_domain_mapping,20,synthesis,0.865293,0.053835
1,cross_domain_mapping,20,answer,0.923758,0.053835
1,cross_domain_mapping,21,brainstorm,0.934423,0.048259
1,cross_domain_mapping,21,graph,0.85263,0.048259
1,cross_domain_mapping,21,patterns,0.813992,0.048259
1,cross_domain_mapping,21,synthesis,0.864844,0.048259
1,cross_domain_mapping,21,answer,0.923083,0.048259
1,cross_domain_mapping,22,brainstorm,0.93446,0.04927
1,cross_domain_mapping,22,graph,0.852712,0.04927
1,cross_domain_mapping,22,patterns,0.814074,0.04927
1,cross_domain_mapping,22,synthesis,0.864926,0.04927
1,cross_domain_mapping,22,answer,0.923206,0.04927
1,cross_domain_mapping,23,brainstorm,0.934947,0.062892
1,cross_domain_mapping,23,graph,0.853802,0.062892
1,cross_domain_mapping,23,patterns,0.81516,0.062892
1,cross_domain_mapping,23,synthesis,0.866014,0.062892
1,cross_domain_mapping,23,answer,0.924845,0.062892
1,cross_domain_mapping,24,brainstorm,0.934627,0.053839
1,cross_domain_mapping,24,graph,0.85308,0.053839
1,cross_domain_mapping,24,patterns,0.814441,0.053839
1,cross_domain_mapping,24,synthesis,0.865294,0.053839
1,cross_domain_mapping,24,answer,0.923758,0.053839
1,cross_domain_mapping,25,brainstorm,0.934573,0.052354
1,cross_domain_mapping,25,graph,0.852961,0.052354
1,cross_domain_mapping,25,patterns,0.814322,0.052354
1,cross_domain_mapping,25,synthesis,0.865174,0.052354
1,cross_domain_mapping,25,answer,0.923579,0.052354
1,cross_domain_mapping,26,brainstorm,0.934485,0.049946
1,cross_domain_mapping,26,graph,0.852767,0.049946
1,cross_domain_mapping,26,patterns,0.814128,0.049946
1,cross_domain_mapping,26,synthesis,0.864981,0.049946
1,cross_domain_mapping,26,answer,0.923288,0.049946
1,cross_domain_mapping,27,brainstorm,0.934416,0.048085
1,cross_domain_mapping,27,graph,0.852616,0.048085
1,cross_domain_mapping,27,patterns,0.813978,0.048085
1,cross_domain_mapping,27,synthesis,0.86483,0.048085
1,cross_domain_mapping,27,answer,0.923062,0.048085
1,cross_domain_mapping,28,brainstorm,0.934431,0.048482
1,cross_domain_mapping,28,graph,0.852648,0.048482
1,cross_domain_mapping,28,patterns,0.81401,0.048482
1,cross_domain_mapping,28,synthesis,0.864862,0.048482
1,cross_domain_mapping,28,answer,0.92311,0.048482
1,cross_domain_mapping,29,brainstorm,0.934238,0.043314
1,cross_domain_mapping,29,graph,0.852228,0.043314
1,cross_domain_mapping,29,patterns,0.813591,0.043314
1,cross_domain_mapping,29,synthesis,0.864442,0.043314
1,cross_domain_mapping,29,answer,0.922481,0.043314
1,cross_domain_mapping,30,brainstorm,0.933917,0.034915
1,cross_domain_mapping,30,graph,0.851538,0.034915
1,cross_domain_mapping,30,patterns,0.812904,0.034915
1,cross_domain_mapping,30,synthesis,0.863753,0.034915
1,cross_domain_mapping,30,answer,0.921452,0.034915
1,cross_domain_mapping,31,brainstorm,0.93409,0.039409
1,cross_domain_mapping,31,graph,0.851908,0.039409
1,cross_domain_mapping,31,patterns,0.813272,0.039409
1,cross_domain_mapping,31,synthesis,0.864123,0.039409
1,cross_domain_mapping,31,answer,0.922004,0.039409
1,cross_domain_mapping,32,brainstorm,0.933848,0.033136
1,cross_domain_mapping,32,graph,0.851391,0.033136
1,cross_domain_mapping,32,patterns,0.812757,0.033136
1,cross_domain_mapping,32,synthesis,0.863606,0.033136
1,cross_domain_mapping,32,answer,0.921232,0.033136
1,cross_domain_mapping,33,brainstorm,0.933891,0.034239
1,cross_domain_mapping,33,graph,0.851482,0.034239
1,cross_domain_mapping,33,patterns,0.812848,0.034239
1,cross_domain_mapping,33,synthesis,0.863697,0.034239
1,cross_domain_mapping,33,answer,0.921368,0.034239
1,cross_domain_mapping,34,brainstorm,0.933542,0.025454
1,cross_domain_mapping,34,graph,0.85075,0.025454
1,cross_domain_mapping,34,patterns,0.812119,0.025454
1,cross_domain_mapping,34,synthesis,0.862965,0.025454
1,cross_domain_mapping,34,answer,0.920281,0.025454
1,cross_domain_mapping,35,brainstorm,0.933124,0.015255
1,cross_domain_mapping,35,graph,0.849887,0.015255
1,cross_domain_mapping,35,patterns,0.811262,0.015255
1,cross_domain_mapping,35,synthesis,0.862104,0.015255
1,cross_domain_mapping,35,answer,0.919005,0.015255
1,cross_domain_mapping,36,brainstorm,0.937527,0.411067
1,cross_domain_mapping,36,graph,0.872927,0.411067
1,cross_domain_mapping,36,patterns,0.834622,0.411067
1,cross_domain_mapping,36,synthesis,0.884963,0.411067
1,cross_domain_mapping,36,answer,0.957479,0.411067
2,cross_domain_mapping,0,brainstorm,0.93503,0.101175
2,cross_domain_mapping,0,graph,0.649247,0.101175
2,cross_domain_mapping,0,patterns,0.650252,0.101175
2,cross_domain_mapping,0,synthesis,0.839814,0.101175
2,cross_domain_mapping,0,answer,0.922026,0.101175
2,cross_domain_mapping,1,brainstorm,0.930681,0.007981
2,cross_domain_mapping,1,graph,0.641443,0.007981
2,cross_domain_mapping,1,patterns,0.643839,0.007981
2,cross_domain_mapping,1,synthesis,0.833559,0.007981
2,cross_domain_mapping,1,answer,0.915348,0.007981
2,cross_domain_mapping,2,brainstorm,0.930719,0.008707
2,cross_domain_mapping,2,graph,0.641506,0.008707
2,cross_domain_mapping,2,patterns,0.643891,0.008707
2,cross_domain_mapping,2,synthesis,0.833611,0.008707
2,cross_domain_mapping,2,answer,0.915404,0.008707
2,cross_domain_mapping,3,brainstorm,0.930905,0.012342
2,cross_domain_mapping,3,graph,0.641821,0.012342
2,cross_domain_mapping,3,patterns,0.644152,0.012342
2,cross_domain_mapping,3,synthesis,0.833869,0.012342
2,cross_domain_mapping,3,answer,0.91568,0.012342
2,cross_domain_mapping,4,brainstorm,0.931084,0.015862
2,cross_domain_mapping,4,graph,0.642125,0.015862
2,cross_domain_mapping,4,patterns,0.644404,0.015862
2,cross_domain_mapping,4,synthesis,0.834119,0.015862
2,cross_domain_mapping,4,answer,0.915946,0.015862
2,cross_domain_mapping,5,brainstorm,0.930886,0.011977
2,cross_domain_mapping,5,graph,0.641789,0.011977
2,cross_domain_mapping,5,patterns,0.644126,0.011977
2,cross_domain_mapping,5,synthesis,0.833843,0.011977
2,cross_domain_mapping,5,answer,0.915652,0.011977
2,cross_domain_mapping,6,brainstorm,0.930807,0.010432
2,cross_domain_mapping,6,graph,0.641656,0.010432
2,cross_domain_mapping,6,patterns,0.644015,0.010432
2,cross_domain_mapping,6,synthesis,0.833734,0.010432
2,cross_domain_mapping,6,answer,0.915535,0.010432
2,cross_domain_mapping,7,brainstorm,0.937723,0.17214
2,cross_domain_mapping,7,graph,0.654791,0.17214
2,cross_domain_mapping,7,patterns,0.654726,0.17214
2,cross_domain_mapping,7,synthesis,0.844036,0.17214
2,cross_domain_mapping,7,answer,0.926517,0.17214
2,cross_domain_mapping,8,brainstorm,0.937098,0.154328
2,cross_domain_mapping,8,graph,0.653433,0.154328
2,cross_domain_mapping,8,patterns,0.653637,0.154328
2,cross_domain_mapping,8,synthesis,0.843021,0.154328
2,cross_domain_mapping,8,answer,0.925439,0.154328
2,cross_domain_mapping,9,brainstorm,0.936758,0.145028
2,cross_domain_mapping,9,graph,0.652715,0.145028
2,cross_domain_mapping,9,patterns,0.653059,0.145028
2,cross_domain_mapping,9,synthesis,0.842479,0.145028
2,cross_domain_mapping,9,answer,0.924863,0.145028
2,cross_domain_mapping,10,brainstorm,0.93652,0.138672
2,cross_domain_mapping,10,graph,0.652221,0.138672
2,cross_domain_mapping,10,patterns,0.652661,0.138672
2,cross_domain_mapping,10,synthesis,0.842104,0.138672
2,cross_domain_mapping,10,answer,0.924465,0.138672
2,cross_domain_mapping,11,brainstorm,0.935794,0.11993
2,cross_domain_mapping,11,graph,0.650747,0.11993
2,cross_domain_mapping,11,patterns,0.651469,0.11993
2,cross_domain_mapping,11,synthesis,0.840976,0.11993
2,cross_domain_mapping,11,answer,0.923264,0.11993
2,cross_domain_mapping,12,brainstorm,0.935374,0.109524
2,cross_domain_mapping,12,graph,0.649918,0.109524
2,cross_domain_mapping,12,patterns,0.650797,0.109524
2,cross_domain_mapping,12,synthesis,0.840335,0.109524
2,cross_domain_mapping,12,answer,0.922582,0.109524
2,cross_domain_mapping,13,brainstorm,0.934583,0.090632
2,cross_domain_mapping,13,graph,0.648394,0.090632
2,cross_domain_mapping,13,patterns,0.649556,0.090632
2,cross_domain_mapping,13,synthesis,0.839146,0.090632
2,cross_domain_mapping,13,answer,0.921315,0.090632
2,cross_domain_mapping,14,brainstorm,0.934354,0.085316
2,cross_domain_mapping,14,graph,0.647961,0.085316
2,cross_domain_mapping,14,patterns,0.649203,0.085316
2,cross_domain_mapping,14,synthesis,0.838805,0.085316
2,cross_domain_mapping,14,answer,0.920951,0.085316
2,cross_domain_mapping,15,brainstorm,0.933998,0.077217
2,cross_domain_mapping,15,graph,0.647297,0.077217
2,cross_domain_mapping,15,patterns,0.64866,0.077217
2,cross_domain_mapping,15,synthesis,0.838281,0.077217
2,cross_domain_mapping,15,answer,0.920393,0.077217
2,cross_domain_mapping,16,brainstorm,0.933791,0.072563
2,cross_domain_mapping,16,graph,0.646913,0.072563
2,cross_domain_mapping,16,patterns,0.648346,0.072563
2,cross_domain_mapping,16,synthesis,0.837978,0.072563
2,cross_domain_mapping,16,answer,0.920069,0.072563
2,cross_domain_mapping,17,brainstorm,0.931789,0.029978
2,cross_domain_mapping,17,graph,0.643337,0.029978
2,cross_domain_mapping,17,patterns,0.645406,0.029978
2,cross_domain_mapping,17,synthesis,0.835106,0.029978
2,cross_domain_mapping,17,answer,0.917002,0.029978
2,cross_domain_mapping,18,brainstorm,0.932005,0.034395
2,cross_domain_mapping,18,graph,0.643713,0.034395
2,cross_domain_mapping,18,patterns,0.645717,0.034395
2,cross_domain_mapping,18,synthesis,0.835412,0.034395
2,cross_domain_mapping,18,answer,0.917329,0.034395
